iter	Passed	Remaining
0	0	48
1	1	50
2	1	54
3	2	57
4	3	58
5	3	58
6	4	56
7	4	54
8	5	54
9	6	55
10	6	55
11	7	56
12	8	56
13	9	56
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	48
23	14	47
24	15	46
25	16	45
26	16	44
27	17	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	39
33	20	38
34	20	38
35	21	37
36	21	36
37	22	35
38	22	34
39	22	34
40	23	33
41	23	33
42	24	32
43	25	31
44	25	31
45	26	30
46	26	29
47	27	29
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	32	21
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	48	0
98	49	0
99	49	0
